day,open,high,low,close,volume,T_close,T_low,T_high,BorS
20160524,1.12187,1.12267,1.11321,1.11393,122656,1.11539,1.11285,1.11666,1
20160525,1.11398,1.11666,1.11285,1.11539,117526,1.11927,1.11492,1.12164,1
20160526,1.11536,1.12164,1.11492,1.11927,117517,1.1113,1.11107,1.12004,0
20160527,1.11918,1.12004,1.11107,1.1113,110797,1.1138,1.10977,1.11443,1
20160530,1.11125,1.11443,1.10977,1.1138,74494,1.11303,1.11219,1.11731,0
20160531,1.11362,1.11731,1.11219,1.11303,134648,1.11869,1.11138,1.11937,1
20160601,1.11301,1.11937,1.11138,1.11869,142595,1.1151,1.11449,1.12198,0
20160602,1.11865,1.12198,1.11449,1.1151,134481,1.13662,1.10707,1.13732,1
20160603,1.11499,1.13732,1.10707,1.13662,151216,1.13528,1.13262,1.13923,0
20160606,1.13542,1.13923,1.13262,1.13528,142740,1.13555,1.13383,1.13801,1
20160607,1.13528,1.13801,1.13383,1.13555,121749,1.13938,1.13541,1.14103,1
20160608,1.13563,1.14103,1.13541,1.13938,118275,1.13129,1.13052,1.14151,0
20160609,1.13936,1.14151,1.13052,1.13129,129040,1.12533,1.1245,1.1321,0
20160610,1.1313,1.1321,1.1245,1.12533,133550,1.12893,1.12316,1.13027,1
20160613,1.12478,1.13027,1.12316,1.12893,149795,1.12056,1.11886,1.1298,0
20160614,1.1289,1.1298,1.11886,1.12056,139469,1.12602,1.11894,1.12982,1
20160615,1.12068,1.12982,1.11894,1.12602,140526,1.1223,1.11307,1.12946,0
20160616,1.1258,1.12946,1.11307,1.1223,179595,1.12752,1.12225,1.12961,1
20160617,1.12231,1.12961,1.12225,1.12752,136546,1.13121,1.13018,1.13821,0
20160620,1.13308,1.13821,1.13018,1.13121,141584,1.12439,1.12428,1.13492,0
20160621,1.13093,1.13492,1.12428,1.12439,126209,1.12947,1.12362,1.13372,1
20160622,1.12421,1.13372,1.12362,1.12947,122045,1.13791,1.1293,1.14208,1
20160623,1.12937,1.14208,1.1293,1.13791,141171,1.10912,1.09113,1.14278,0
20160624,1.1384,1.14278,1.09113,1.10912,298052,1.10237,1.09705,1.10833,1
20160627,1.10024,1.10833,1.09705,1.10237,211882,1.10647,1.10098,1.11112,1
20160628,1.10235,1.11112,1.10098,1.10647,154064,1.11235,1.10489,1.113,1
20160629,1.10641,1.113,1.10489,1.11235,152563,1.11048,1.10238,1.11541,0
20160630,1.1117,1.11541,1.10238,1.11048,172106,1.11361,1.10716,1.11689,1
20160701,1.11014,1.11689,1.10716,1.11361,133497,1.11532,1.10975,1.11591,1
20160704,1.11245,1.11591,1.10975,1.11532,94473,1.1075,1.10619,1.11862,0
20160705,1.11528,1.11862,1.10619,1.1075,128421,1.10989,1.10288,1.11112,1
20160706,1.10709,1.11112,1.10288,1.10989,159062,1.10601,1.10522,1.11069,0
20160707,1.10969,1.11069,1.10522,1.10601,128413,1.10497,1.10016,1.11198,0
20160708,1.10601,1.11198,1.10016,1.10497,124785,1.10568,1.10153,1.10743,1
20160711,1.10448,1.10743,1.10153,1.10568,115614,1.10604,1.10517,1.1126,1
20160712,1.10556,1.1126,1.10517,1.10604,142824,1.10883,1.10418,1.11195,1
20160713,1.10595,1.11195,1.10418,1.10883,133683,1.11191,1.1085,1.11644,1
20160714,1.10877,1.11644,1.1085,1.11191,150936,1.10244,1.1024,1.11486,0
20160715,1.11173,1.11486,1.1024,1.10244,140166,1.10748,1.10372,1.10839,1
20160718,1.10497,1.10839,1.10372,1.10748,108076,1.10189,1.09996,1.10801,0
